name,price,discount,url,img
Google Pixel 7 Pro 512 GB obsidiana 12 GB RAM - Excelente (Reacondicionado),"$9,59936% OFF",36% OFF,https://www.mercadolibre.com.mx/google-pixel-7-pro-512-gb-obsidiana-12-gb-ram-excelente-reacondicionado/p/MLM2000032835#polycard_client=search-nordic&searchVariation=MLM2000032835&wid=MLM3573221316&position=2&search_layout=stack&type=product&tracking_id=e417c459-cdc8-4c78-99ad-67035be333f2&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_619327-MLU78189750729_082024-V.webp
Google Pixel 7A 128 GB nieve 8 GB RAM - Excelente (Reacondicionado),"$5,943",N/A,https://www.mercadolibre.com.mx/google-pixel-7a-128-gb-nieve-8-gb-ram-excelente-reacondicionado/p/MLM2000112688#polycard_client=search-nordic&searchVariation=MLM2000112688&wid=MLM2231482763&position=17&search_layout=stack&type=product&tracking_id=e417c459-cdc8-4c78-99ad-67035be333f2&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_632417-MLA74807969029_022024-V.webp
Google Pixel 7 Pro 256 GB obsidiana 12 GB RAM - Excelente (Reacondicionado),"$14,999",N/A,https://www.mercadolibre.com.mx/google-pixel-7-pro-256-gb-obsidiana-12-gb-ram-excelente-reacondicionado/p/MLM2000087530#polycard_client=search-nordic&searchVariation=MLM2000087530&wid=MLM3573065970&position=3&search_layout=stack&type=product&tracking_id=e417c459-cdc8-4c78-99ad-67035be333f2&sid=search,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Google Pixel 7 Dual SIM 128 GB obsidiana 8 GB RAM - Excelente (Reacondicionado),"$6,132",20% OFF,https://www.mercadolibre.com.mx/google-pixel-7-dual-sim-128-gb-obsidiana-8-gb-ram-excelente-reacondicionado/p/MLM2000138032#polycard_client=search-nordic&searchVariation=MLM2000138032&wid=MLM3573209498&position=4&search_layout=stack&type=product&tracking_id=e417c459-cdc8-4c78-99ad-67035be333f2&sid=search,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Google Pixel 7 Pro 256 GB verde liquen 8 GB RAM,"$10,255",N/A,https://www.mercadolibre.com.mx/google-pixel-7-pro-256-gb-verde-liquen-8-gb-ram/p/MLM19891904#polycard_client=search-nordic&searchVariation=MLM19891904&wid=MLM2075619745&position=5&search_layout=stack&type=product&tracking_id=e417c459-cdc8-4c78-99ad-67035be333f2&sid=search,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Google Pixel 6 128 GB stormy black 8 GB RAM - Excelente (Reacondicionado),"$4,433",N/A,https://www.mercadolibre.com.mx/google-pixel-6-128-gb-stormy-black-8-gb-ram-excelente-reacondicionado/p/MLM2000071929#polycard_client=search-nordic&searchVariation=MLM2000071929&wid=MLM3519113356&position=6&search_layout=stack&type=product&tracking_id=e417c459-cdc8-4c78-99ad-67035be333f2&sid=search,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Google Pixel 7 Pro 512 GB nieve 12 GB RAM,"$10,988",N/A,https://www.mercadolibre.com.mx/google-pixel-7-pro-512-gb-nieve-12-gb-ram/p/MLM19891914#polycard_client=search-nordic&searchVariation=MLM19891914&wid=MLM2221092503&position=7&search_layout=stack&type=product&tracking_id=e417c459-cdc8-4c78-99ad-67035be333f2&sid=search,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Google Pixel 7 Pro 128 GB obsidiana 12 GB RAM - Aceptable (Reacondicionado),"$6,57724% OFF",24% OFF,https://www.mercadolibre.com.mx/google-pixel-7-pro-128-gb-obsidiana-12-gb-ram-aceptable-reacondicionado/p/MLM2000155350#polycard_client=search-nordic&searchVariation=MLM2000155350&wid=MLM2218856837&position=8&search_layout=stack&type=product&tracking_id=e417c459-cdc8-4c78-99ad-67035be333f2&sid=search,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Google Pixel 7 Pro 128 GB obsidiana 8 GB RAM,"$9,928",N/A,https://www.mercadolibre.com.mx/google-pixel-7-pro-128-gb-obsidiana-8-gb-ram/p/MLM19891902#polycard_client=search-nordic&searchVariation=MLM19891902&wid=MLM3130524866&position=9&search_layout=stack&type=product&tracking_id=e417c459-cdc8-4c78-99ad-67035be333f2&sid=search,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Google Pixel 6 Pro 256 GB cloudy white 12 GB RAM,"$8,3597% OFF",7% OFF,https://www.mercadolibre.com.mx/google-pixel-6-pro-256-gb-cloudy-white-12-gb-ram/p/MLM18718587#polycard_client=search-nordic&searchVariation=MLM18718587&wid=MLM2865218004&position=10&search_layout=stack&type=product&tracking_id=e417c459-cdc8-4c78-99ad-67035be333f2&sid=search,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Google Pixel 7 Dual SIM 128 GB nieve 8 GB RAM,"$8,779",N/A,https://www.mercadolibre.com.mx/google-pixel-7-dual-sim-128-gb-nieve-8-gb-ram/p/MLM21207605#polycard_client=search-nordic&searchVariation=MLM21207605&wid=MLM2070069261&position=11&search_layout=stack&type=product&tracking_id=e417c459-cdc8-4c78-99ad-67035be333f2&sid=search,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Google Pixel 6A 128 GB carbón 6 GB RAM - Excelente (Reacondicionado),"$4,67720% OFF",20% OFF,https://www.mercadolibre.com.mx/google-pixel-6a-128-gb-carbon-6-gb-ram-excelente-reacondicionado/p/MLM2000127744#polycard_client=search-nordic&searchVariation=MLM2000127744&wid=MLM2198478775&position=12&search_layout=stack&type=product&tracking_id=e417c459-cdc8-4c78-99ad-67035be333f2&sid=search,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
